"","X","iso2c","year","country","GDPpc","Rural","CO2","HCexpend","Water","Sanitation","Unemploym","HCexpendpc","FemUnempl","FemSchool","LifeExpect","DPT","Measles","Population","Incidence","Incidence2","DDif","lGDPpc","lRural","lCO2","lHCexpend","lWater","lSanitation","lUnemploym","lHCexpendpc","lFemUnempl","lFemSchool","lLifeExpect","lDPT","lMeasles"
"953",953,"ZA",2003,"South Africa",9895.29639538767,41.554,8.20549078984115,8.63079912482231,89.1,67.6,27.1000003814697,309.771122622596,31.2000007629395,104.69828,52.523756097561,69,62,46409243,2.4,2.59,1,9.19981481164441,3.72699378622259,2.10480353869967,2.1553370992814,4.48975933447676,4.21360798304892,3.29953374196203,5.73583371067044,3.44041811926863,4.65108268985234,3.96126556434804,4.23410650459726,4.12713438504509
"954",954,"ZA",2004,"South Africa",10211.7138896139,41.007,9.08415861588519,8.90633792512045,89.8,68.4,24.7000007629395,410.345193829238,28.8999996185303,104.84455,51.873756097561,64,57,47019452,2.24,2.4,1,9.2312907608923,3.71374278383863,2.20653208510861,2.18676314971442,4.49758497530815,4.22537282462851,3.20680327452217,6.01699874163778,3.36384158191874,4.65247877697933,3.94881299942117,4.15888308335967,4.04305126783455
"955",955,"ZA",2005,"South Africa",10610.6619805021,40.464,8.31486913941851,8.79530553963829,90.5,69.2,23.7999992370605,450.478057810187,28.3999996185303,104.03473,51.5573414634146,72,63,47639556,2.11,2.24,1,9.26961462179198,3.70041268992761,2.11804537462791,2.17421811773826,4.50534985070588,4.23700086262362,3.16968554862115,6.11030936955851,3.34638913173513,4.64472478570274,3.94269461474423,4.27666611901606,4.14313472639153
"956",956,"ZA",2006,"South Africa",11058.9607266725,39.923,8.80145278555703,8.53276693398634,91.2,69.9,22.6000003814697,455.261931892247,27.3999996185303,104.24739,51.6137073170732,74,64,48269753,2.01,2.11,1,9.31099630381419,3.68695259892022,2.17491679712627,2.14391368569102,4.51305489708029,4.24706564923976,3.11794992315743,6.12087292780241,3.31054299947177,4.64676682439428,3.94378728288966,4.30406509320417,4.15888308335967
"957",957,"ZA",2007,"South Africa",11519.6301422517,39.384,9.07066200114136,7.79080292731074,91.9,70.7,22.2999992370605,449.472456247767,26.7000007629395,106.21731,51.996512195122,72,62,48910248,1.93,2.01,1,9.35180782802717,3.6733596424559,2.2050452494615,2.05294392611297,4.52070102936164,4.25844557290253,3.10458664425354,6.10807457561099,3.28466359398072,4.66548708987599,3.95117664316119,4.27666611901606,4.12713438504509
"958",958,"ZA",2008,"South Africa",11780.0870184953,38.846,9.38279834958178,8.03931778850735,92.5,71.5,22.7000007629395,436.83767222011,26.3999996185303,105.52311,52.6360243902439,73,64,49561256,1.88,1.93,1,9.37416584414733,3.65960511140994,2.23887805003805,2.08434422741502,4.52720864451838,4.26969744969996,3.12236495809703,6.07956166663689,3.27336399570266,4.65892998106041,3.9634007596635,4.29045944114839,4.15888308335967
"959",959,"ZA",2009,"South Africa",11447.4362879627,38.313,10.0340716830195,8.67735676639097,93.2,72.2,23.7000007629395,484.233780136863,26.1000003814697,103.83873,53.4670975609756,70,78,50222996,1.84,1.88,1,9.3455210789305,3.64578926418223,2.30598647004885,2.16071696229559,4.53474772169155,4.27944004589878,3.16547508033263,6.18256780691326,3.26193532894434,4.6428390225266,3.97906646585232,4.24849524204936,4.35670882668959
"960",960,"ZA",2010,"South Africa",11650.8464205385,37.782,9.0405314610284,8.7077521484444,93.8,73,24.7000007629395,614.745533696168,27.3999996185303,79.8242519370467,54.390756097561,66,74,50895698,1.79,1.84,1,9.36313411047814,3.63183279873466,2.20171796261279,2.16421368045511,4.54116485601218,4.29045944114839,3.20680327452217,6.42120841583391,3.31054299947177,4.37119277333825,3.99619421474588,4.18965474202643,4.30406509320417
"961",961,"ZA",2011,"South Africa",11910.1525413629,37.254,8.95636877491074,8.65616535031751,94.5,73.7,24.7000007629395,669.515056113272,27.7999992370605,47.6031541986013,55.2956585365854,72,78,51579599,1.69,1.79,1,9.38514647010636,3.61775932161081,1.76977536687659,2.15827182431511,4.5485998344997,4.30000279919529,3.20680327452217,6.50655365347175,3.32503599325272,3.90971795578144,4.01269439797056,4.27666611901606,4.35670882668959
"962",962,"ZA",2012,"South Africa",12041.6269552117,36.728,6.75290124835822,8.78686714434797,95.1,74.4,25,644.620617685196,27.7999992370605,98.85496,56.0983170731707,68,79,52274945,1.52,1.69,1,9.3961248389041,3.60353940694692,2.49515095053375,2.17325823683049,4.55492896955134,4.30945594183905,3.2188758248682,6.46866195410903,3.32503599325272,4.59365372539371,4.02710581338297,4.21950770517611,4.36944785246702
